contrast-90;energy-90;homogenity-90;correlation-90;dissimilarity-90;ASM-90;contrast-135;energy-135;homogenity-135;correlation-135;dissimilarity-135;ASM-135;target
1068180602;0.05521987;0.36574934;0.9423917;201117057;0.00351113;763683389;0.05925478;0.40444537;0.9588083;201117057;0.00351113;2
997424749;0.05997117;0.37067181;0.93518036;199555184;0.0040403;748656633;0.06356336;0.4036507;0.9513716;199555184;0.0040403;2
1032424749;0.05697098;0.36919299;0.93953386;205075808;0.00360527;796003344;0.06004386;0.3988354;0.95337487;205075808;0.00360527;2
1116855072;0.05389023;0.35931052;0.94398995;209176143;0.00327491;828993311;0.05722679;0.39384806;0.95850163;209176143;0.00327491;2
909402453;0.06062716;0.38863038;0.94702461;189570792;0.00410939;687430323;0.06410449;0.4204844;0.96002583;189570792;0.00410939;2
1017703456;0.05968909;0.36400829;0.92928882;201849498;0.00403872;762620959;0.06355094;0.40015975;0.94692967;201849498;0.00403872;2
972132664;0.0593779;0.37760417;0.93840413;202362319;0.00391612;792157191;0.06257889;0.40526273;0.94980823;202362319;0.00391612;2
1048334448;0.05886013;0.3642354;0.93363917;202241918;0.00394371;768489409;0.06279895;0.40115572;0.95133439;202241918;0.00394371;2
101899777;0.05759129;0.36915872;0.93801908;200483835;0.00376701;765063545;0.06137598;0.40595442;0.95345347;200483835;0.00376701;2
953204013;0.05870078;0.38111105;0.94277563;191670011;0.00391016;696421405;0.06253127;0.41578376;0.95816272;191670011;0.00391016;2
993405797;0.05822474;0.3715318;0.94121394;209392419;0.00370532;848710145;0.06087134;0.39425644;0.95011196;209392419;0.00370532;1
875852843;0.06742338;0.39042761;0.92887682;195053512;0.00495384;740667781;0.07038353;0.41426623;0.93986457;195053512;0.00495384;1
815685619;0.06778131;0.40330452;0.93537207;181975474;0.0050745;648604236;0.07123551;0.43302493;0.94860351;181975474;0.0050745;1
1037973244;0.05857664;0.3709749;0.93860601;208316611;0.00371578;831360089;0.06095722;0.39595519;0.95084605;208316611;0.00371578;1
1051491639;0.05718544;0.36990652;0.9412644;21374359;0.00355955;882443701;0.05966193;0.39158708;0.95067283;21374359;0.00355955;1
918240803;0.06432971;0.38383289;0.93280868;19661427;0.00455201;737853958;0.06746861;0.41123743;0.94601032;19661427;0.00455201;1
878956522;0.06480552;0.39210451;0.93751291;189154961;0.00464208;693433668;0.0681328;0.42108774;0.95072283;189154961;0.00464208;1
813149387;0.06831331;0.39942319;0.93364619;18519175;0.00504401;652560758;0.07102117;0.42428256;0.94683559;18519175;0.00504401;1
949405797;0.06172657;0.37577589;0.93417195;197694537;0.00429284;75148495;0.06551978;0.40979292;0.94784396;197694537;0.00429284;1
975843924;0.06265329;0.37593527;0.9302802;199523969;0.00438733;766146042;0.06623695;0.4078344;0.94525834;199523969;0.00438733;1
784860647;0.06659632;0.39866982;0.93582882;167824972;0.00526926;534143813;0.07258968;0.44951927;0.95632901;167824972;0.00526926;2
743992196;0.06978464;0.41493598;0.93523631;159071349;0.00578264;485298774;0.0760437;0.46511853;0.95778248;159071349;0.00578264;2
677309922;0.07640772;0.41915275;0.92244368;150594203;0.00706683;434014493;0.08406442;0.47945986;0.95031962;150594203;0.00706683;2
