contrast-45;energy-45;homogenity-45;correlation-45;dissimilarity-45;ASM-45;contrast-135;energy-135;homogenity-135;correlation-135;dissimilarity-135;ASM-135;target
1200621917;0.05577023;0.34171416;0.92429605;164023411;0.00469729;524790412;0.06853675;0.46253813;0.96689039;164023411;0.00469729;3
1269565217;0.05312054;0.32824831;0.92496503;166023411;0.00441443;529896321;0.0664412;0.45587711;0.96868405;166023411;0.00441443;3
1084455431;0.06001233;0.35690159;0.92487079;155114827;0.00545981;475884058;0.07389055;0.47848411;0.96700863;155114827;0.00545981;3
1378015906;0.05260509;0.31576825;0.91266816;179760312;0.00420942;611494983;0.06488005;0.43461086;0.96127752;179760312;0.00420942;3
1744009575;0.04602058;0.28872779;0.91521909;206897436;0.00317263;814823857;0.05632606;0.39886936;0.96041713;206897436;0.00317263;3
1846162795;0.04753393;0.28872887;0.90160801;211225195;0.00336413;850375697;0.05800111;0.39559316;0.95468799;211225195;0.00336413;3
1998507847;0.04713077;0.27322473;0.8850443;225166109;0.00327763;939966555;0.05725058;0.37083836;0.94592455;225166109;0.00327763;3
1988416237;0.04560718;0.27315589;0.89585271;217498328;0.00314301;883070234;0.05606256;0.38124123;0.95374706;217498328;0.00314301;3
1420940482;0.05140202;0.31212706;0.90699041;195207358;0.00378645;71854738;0.0615341;0.40970987;0.95297363;195207358;0.00378645;3
1637753493;0.04797724;0.29728983;0.90910099;198350056;0.00348295;745661093;0.05901654;0.40724193;0.95862059;198350056;0.00348295;3
1684362591;0.04846554;0.29491807;0.9055325;199816054;0.00352681;756507246;0.05938691;0.40611082;0.95760046;199816054;0.00352681;3
1813563607;0.04705578;0.2844562;0.90357724;208489409;0.00332835;820462653;0.05769183;0.39365633;0.95637567;208489409;0.00332835;3
187550363;0.04680022;0.28153216;0.89843861;214671126;0.00326552;855344482;0.0571447;0.38396482;0.95369157;214671126;0.00326552;3
1607799689;0.04706283;0.30106107;0.91874387;198268673;0.00332052;753200669;0.05762396;0.41146581;0.96191533;198268673;0.00332052;3
